Country,LE_index,LE_female,LE_male,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Tanzania,67.21,70,64.4,8.10,1.48,11.40,4221.00,3.78,0.74,17.60,40.00,0.68,0.18,3.30,0.26,6.80
Thailand,76.56,80.98,72.34,18.30,1.11,14.50,24708.00,5.98,0.73,54.90,33.00,0.43,0.62,-0.88,3.94,5.40
Timor-Leste,67.9,69.67,66.26,17.67,1.74,23.48,4758.00,5.50,0.70,29.30,44.00,0.73,0.28,5.62,0.42,1.80
Togo,62.93,63.15,62.7,5.70,3.02,10.40,3239.00,4.21,0.66,24.20,32.00,0.57,0.17,5.62,0.27,9.50
Tonga,73.07,76.54,69.5,31.10,0.51,70.50,7853.00,5.50,0.72,67.47,42.08,0.55,0.18,5.62,1.59,5.20
Trinidad and Tobago,73.62,76.82,70.51,17.67,1.16,29.20,36021.00,5.50,0.77,99.50,41.00,0.82,0.93,0.70,19.53,6.70
Tunisia,76.71,79.33,74.13,19.50,1.88,28.03,14451.00,4.42,0.65,41.50,39.00,0.78,0.38,5.00,2.96,0.60
Turkey,77.42,80.34,74.62,30.20,1.13,34.30,43932.00,4.98,0.63,42.80,31.00,0.67,0.42,31.53,5.53,4.80
Turkmenistan,70.2,73.01,67,4.90,0.84,20.20,20408.00,5.50,0.72,52.30,17.00,0.79,0.76,5.50,9.67,5.90
Turks and Caicos Islands,78.18,80.45,76.01,17.67,1.74,23.48,37954.00,5.50,0.72,67.47,42.08,0.67,1.20,5.62,4.76,5.43
Tuvalu,67.26,70.86,63.91,32.20,1.74,63.90,6151.00,5.50,0.72,67.47,42.08,0.74,0.52,5.62,4.76,5.30
Uganda,68.49,71.37,65.49,6.40,1.09,6.90,3276.00,4.37,0.71,23.30,25.00,0.69,0.18,2.90,0.16,7.10
Ukraine,74.69,79.39,69.79,23.60,2.20,29.20,18550.00,4.87,0.72,63.30,42.08,0.53,0.54,7.40,3.23,6.00
